date_time,admin1,admin2,admin3,school,sex,age,grade,age_group,haldo_sel,haldo_literacy,_uuid,location,protection_status,disability,round,aser_literacy,aser_numeracy
2023-06-12,8,800.0,80005.0,school01,1,7,0.0,6-10,0.6041666666666666,0.175,1923914235876098121,,,,,,
2023-06-12,8,800.0,80005.0,school02,1,7,0.0,6-10,0.6041666666666666,0.175,14316521119066352241,,,,,,
2023-06-07,9,902.0,90201.0,school03,1,7,2.0,6-10,0.8375,0.4318181818181818,8029136157369546520,,,,,,
2023-06-07,9,902.0,90201.0,school04,1,7,1.0,6-10,0.4375,0.4318181818181817,10855389975063662343,,,,,,
2023-06-08,9,902.0,90203.0,school05,1,8,0.0,6-10,0.5,0.15,17252436797090343061,,,,,,
2023-06-08,9,902.0,90203.0,school06,1,8,0.0,6-10,0.5,0.15,3453227971431730869,,,,,,
2023-06-08,9,902.0,90203.0,school07,1,8,0.0,6-10,0.7,0.3454545454545454,11403915290323269884,,,,,,
2023-06-08,9,902.0,90203.0,school08,1,8,0.0,6-10,1.0,0.5227272727272727,11897619446554478796,,,,,,
2023-06-08,9,902.0,90201.0,school09,1,9,2.0,6-10,0.5952380952380952,0.5045454545454545,13127683964477021070,,,,,,
2023-06-08,9,902.0,90201.0,school01,1,9,2.0,6-10,0.6041666666666666,0.5045454545454545,14377129011074018465,,,,,,
2023-06-08,9,902.0,90203.0,school02,1,9,0.0,6-10,0.625,0.1,6852306684882142585,,,,,,
2023-06-08,9,902.0,90201.0,school03,1,9,2.0,6-10,0.7375,0.509090909090909,11833177802774466999,,,,,,
2023-06-11,11,1103.0,110300.0,school04,1,10,2.0,6-10,0.9,0.5409090909090909,9137393389152707967,,,,,,
2023-06-12,11,1103.0,110300.0,school05,1,10,2.0,6-10,0.9,0.5409090909090909,7481055552258696371,,,,,,
2023-06-12,11,1103.0,110300.0,school06,1,10,3.0,6-10,0.5138888888888888,0.5045454545454545,8854866040239262902,,,,,,
2023-06-12,11,1103.0,110300.0,school07,1,10,3.0,6-10,0.5,0.5136363636363637,8646918957476788530,,,,,,
2023-06-13,11,1103.0,110300.0,school08,1,11,4.0,11-14,0.6666666666666666,0.5136363636363637,7355619371882116234,,,,,,
2023-06-11,9,902.0,90201.0,school09,1,11,3.0,11-14,0.6041666666666666,0.5,12888598086883364953,,,,,,
2023-06-11,9,902.0,90201.0,school01,1,12,4.0,11-14,0.8285714285714285,0.509090909090909,15032991140455355056,,,,,,
2023-06-11,9,902.0,90201.0,school02,1,12,5.0,11-14,0.7375,0.509090909090909,9052837281725154029,,,,,,
2023-06-11,9,902.0,90201.0,school03,1,12,5.0,11-14,0.7375,0.5,5568693642971002530,,,,,,
2023-06-07,9,902.0,90201.0,school04,0,7,2.0,6-10,0.6212121212121212,0.4318181818181818,9618807436572501707,,,,,,
2023-06-06,9,902.0,90201.0,school05,0,7,2.0,6-10,0.6212121212121212,0.4318181818181818,14714613666730414639,,,,,,
2023-06-13,11,1103.0,110300.0,school06,0,7,1.0,6-10,0.7333333333333334,0.5045454545454545,11304839392620083265,,,,,,
2023-06-13,11,1103.0,110300.0,school07,0,7,1.0,6-10,0.4285714285714285,0.5227272727272727,3069984309175777988,,,,,,
2023-06-08,9,902.0,90203.0,school08,0,8,0.0,6-10,0.8,0.4068181818181818,16250081608616680954,,,,,,
2023-06-07,9,902.0,90201.0,school09,0,8,2.0,6-10,0.8375,0.509090909090909,14603171035541592258,,,,,,
